Version,DCE
1,76.974
2,72.7881
3,94.7139
4,95.4441
5,96.7035
6,97.3729
7,97.6457
8,98.1439
9,97.4743
10,97.6048
11,97.2382
12,95.5673
13,95.1023
14,95.6098
15,94.0073
16,93.2239
17,92.3278
18,91.3696
19,91.6022
20,92.1148
21,92.4392
22,91.8379
23,91.9336
24,92.6072
25,93.2489
26,94.342
27,94.4099
28,94.4286
29,94.6551
30,94.4602
31,94.6097
32,95.1283
33,95.2874
34,95.5807
35,95.8033
36,96.0771
37,96.6013
38,96.704
39,96.8497
40,96.8882
41,97.2732
42,97.1027
43,97.3165
44,97.6183
45,97.5356
46,96.7456
47,96.6152
48,96.6278
49,97.0861
50,97.2791
51,97.0039
52,97.3126
53,96.9422
54,97.0162
55,96.7776
56,96.8771
57,96.9275
58,97.0671
59,96.9088
60,97.0847
61,96.9588
62,97.1438
63,96.9403
64,97.1498
65,97.0492
66,97.0552
67,97.0421
68,97.1889
69,96.8261
70,96.9747
71,96.7844
72,96.877
73,96.6818
74,96.8391
75,96.7662
76,96.9078
77,96.8945
78,97.0371
79,96.8926
80,97.3628
81,97.192
82,97.2615
83,97.0923
84,97.2154
85,97.0979
86,97.1678
87,96.9561
88,97.0123
89,96.9235
90,96.9635
91,96.8483
92,96.9282
93,96.8785
94,96.971
95,96.8764
96,96.9464
97,96.83
98,96.9057
99,96.8226
100,96.8974
