#reverse_pos	count	cdf
0	51943	0.245456
1	19473	0.337476
2	8839	0.379245
3	6291	0.408973
4	4388	0.429708
5	3660	0.447004
6	2879	0.460608
7	2431	0.472096
8	2036	0.481717
9	1865	0.49053
10	1671	0.498426
11	1451	0.505283
12	1285	0.511355
13	1095	0.51653
14	1075	0.52161
15	1005	0.526359
16	991	0.531042
17	940	0.535484
18	866	0.539576
19	756	0.543149
20	828	0.547061
21	712	0.550426
22	711	0.553786
23	820	0.557661
24	695	0.560945
25	670	0.564111
26	598	0.566937
27	563	0.569597
28	604	0.572451
29	579	0.575187
30	522	0.577654
31	497	0.580003
32	489	0.582313
33	433	0.58436
34	468	0.586571
35	465	0.588768
36	446	0.590876
37	465	0.593073
38	431	0.59511
39	380	0.596906
40	428	0.598928
41	457	0.601088
42	377	0.602869
43	357	0.604556
44	341	0.606168
45	402	0.608067
46	378	0.609854
47	317	0.611352
48	403	0.613256
49	370	0.615004
50	304	0.616441
51	382	0.618246
52	299	0.619659
53	309	0.621119
54	299	0.622532
55	296	0.623931
56	281	0.625259
57	270	0.626535
58	294	0.627924
59	326	0.629464
60	360	0.631166
61	325	0.632701
62	263	0.633944
63	255	0.635149
64	221	0.636194
65	257	0.637408
66	238	0.638533
67	237	0.639653
68	302	0.64108
69	246	0.642242
70	214	0.643253
71	220	0.644293
72	221	0.645337
73	189	0.64623
74	238	0.647355
75	199	0.648296
76	215	0.649311
77	181	0.650167
78	196	0.651093
79	197	0.652024
80	190	0.652922
81	278	0.654235
82	230	0.655322
83	275	0.656622
84	192	0.657529
85	156	0.658266
86	173	0.659084
87	214	0.660095
88	153	0.660818
89	184	0.661688
90	178	0.662529
91	192	0.663436
92	236	0.664551
93	201	0.665501
94	162	0.666267
95	212	0.667268
96	200	0.668213
97	254	0.669414
98	189	0.670307
99	197	0.671238
100	176	0.672069
101	145	0.672755
102	142	0.673426
103	156	0.674163
104	196	0.675089
105	188	0.675977
106	183	0.676842
107	147	0.677537
108	136	0.67818
109	138	0.678832
110	134	0.679465
111	106	0.679966
112	143	0.680642
113	130	0.681256
114	146	0.681946
115	163	0.682716
116	125	0.683307
117	145	0.683992
118	135	0.68463
119	132	0.685254
120	205	0.686222
121	126	0.686818
122	163	0.687588
123	160	0.688344
124	113	0.688878
125	99	0.689346
126	113	0.68988
127	132	0.690504
128	122	0.69108
129	127	0.69168
130	121	0.692252
131	119	0.692814
132	149	0.693519
133	123	0.6941
134	124	0.694686
135	147	0.69538
136	119	0.695943
137	106	0.696444
138	118	0.697001
139	123	0.697582
140	128	0.698187
141	104	0.698679
142	103	0.699165
143	105	0.699662
144	98	0.700125
145	93	0.700564
146	92	0.700999
147	85	0.701401
148	81	0.701783
149	88	0.702199
150	94	0.702643
151	103	0.70313
152	86	0.703537
153	104	0.704028
154	89	0.704449
155	88	0.704864
156	93	0.705304
157	90	0.705729
158	80	0.706107
159	88	0.706523
160	90	0.706948
161	93	0.707388
162	80	0.707766
163	92	0.708201
164	102	0.708683
165	119	0.709245
166	65	0.709552
167	85	0.709954
168	69	0.71028
169	79	0.710653
170	75	0.711008
171	92	0.711442
172	76	0.711801
173	73	0.712146
174	75	0.712501
175	73	0.712846
176	80	0.713224
177	73	0.713569
178	90	0.713994
179	83	0.714386
180	118	0.714944
181	60	0.715227
182	71	0.715563
183	78	0.715932
184	93	0.716371
185	141	0.717037
186	117	0.71759
187	90	0.718015
188	84	0.718412
189	157	0.719154
190	72	0.719495
191	55	0.719754
192	78	0.720123
193	89	0.720544
194	94	0.720988
195	66	0.7213
196	73	0.721645
197	118	0.722202
198	63	0.7225
199	59	0.722779
200	60	0.723062
201	49	0.723294
202	74	0.723644
203	79	0.724017
204	54	0.724272
205	65	0.724579
206	59	0.724858
207	46	0.725075
208	72	0.725416
209	79	0.725789
210	81	0.726172
211	88	0.726588
212	73	0.726932
213	72	0.727273
214	82	0.72766
215	89	0.728081
216	154	0.728809
217	102	0.729291
218	76	0.72965
219	92	0.730084
220	121	0.730656
221	69	0.730982
222	79	0.731356
223	68	0.731677
224	68	0.731998
225	70	0.732329
226	55	0.732589
227	52	0.732835
228	47	0.733057
229	52	0.733302
230	50	0.733539
231	41	0.733732
232	80	0.734111
233	60	0.734394
234	55	0.734654
235	50	0.73489
236	61	0.735178
237	69	0.735505
238	61	0.735793
239	60	0.736076
240	72	0.736417
241	65	0.736724
242	70	0.737055
243	86	0.737461
244	75	0.737815
245	56	0.73808
246	60	0.738363
247	58	0.738638
248	49	0.738869
249	50	0.739105
250	81	0.739488
251	71	0.739824
252	67	0.74014
253	63	0.740438
254	90	0.740863
255	127	0.741463
256	130	0.742078
257	87	0.742489
258	141	0.743155
259	91	0.743585
260	45	0.743798
261	61	0.744086
262	43	0.744289
263	43	0.744492
264	36	0.744663
265	45	0.744875
