SuperFeature,HitCount,HitRatio
9841523559595990544,2157,0.000202268
12355395293984653419,1994,0.000186983
4359564544258773041,1418,0.00013297
5306859027446259512,1070,0.000100337
2599011892358068366,1019,9.55547e-05
6381431448686709436,1015,9.51796e-05
8036559908612654539,1014,9.50859e-05
1389966911378953800,778,7.29554e-05
8049921795186641700,758,7.108e-05
5408378235818163717,747,7.00485e-05
10797495953194844008,685,6.42345e-05
5016063376611298326,586,5.4951e-05
13811873621612277084,572,5.36382e-05
865109103272866894,554,5.19503e-05
4533123819307487121,538,5.04499e-05
2356646141516027433,529,4.96059e-05
1752279234800705155,522,4.89495e-05
16319840507583058538,510,4.78243e-05
9569976530668582765,506,4.74492e-05
225625126441199046,487,4.56675e-05
3078825342073277865,471,4.41671e-05
7245573391524327027,460,4.31356e-05
7303594371480475553,456,4.27605e-05
3215232651434615661,445,4.1729e-05
17904296313193045719,434,4.06975e-05
1861395875772017998,407,3.81656e-05
5881223882303480761,406,3.80719e-05
7308742009035505739,400,3.75092e-05
10328613326044694909,399,3.74154e-05
1505766753311045157,394,3.69466e-05
8637792353351729655,393,3.68528e-05
11698356300994915037,381,3.57275e-05
11834591194146375273,378,3.54462e-05
12708214415737639635,371,3.47898e-05
11888420899961053146,365,3.42272e-05
11023271660406125478,360,3.37583e-05
7257987180741785020,358,3.35708e-05
13732480774855070066,355,3.32894e-05
14094287940288564888,353,3.31019e-05
13825494542165642284,352,3.30081e-05
2676651148333750459,350,3.28206e-05
1591654370890127630,334,3.13202e-05
6459571691909863572,330,3.09451e-05
8776578795164963515,323,3.02887e-05
8035050097080246485,318,2.98198e-05
11432859741426811911,317,2.97261e-05
12995497072441919947,317,2.97261e-05
12291025383918210549,316,2.96323e-05
14821257195617766684,315,2.95385e-05
6753116974576504007,315,2.95385e-05
7536026698645820012,312,2.92572e-05
10184945888219787356,310,2.90696e-05
13272428886279310152,306,2.86946e-05
6294586163699908069,304,2.8507e-05
15446902271849145642,303,2.84132e-05
11751389675065567863,302,2.83195e-05
12834975218113911932,295,2.7663e-05
8445067759001998739,295,2.7663e-05
16930553222758568536,294,2.75693e-05
3717871282077369502,293,2.74755e-05
3842786584237558153,292,2.73817e-05
6597039749788927020,289,2.71004e-05
9306348224847251789,288,2.70066e-05
8268373459110475905,287,2.69129e-05
14720100776074443985,285,2.67253e-05
2564495495291069401,283,2.65378e-05
8797309026816150442,282,2.6444e-05
6382451479972877111,280,2.62565e-05
7980491928621947284,279,2.61627e-05
10010149575763261459,279,2.61627e-05
2824972073882007481,278,2.60689e-05
7604619289017878714,270,2.53187e-05
2993630439323423748,269,2.52249e-05
12270858860045460425,268,2.51312e-05
1917561943929829506,267,2.50374e-05
11621012033378771476,267,2.50374e-05
6632718414825846378,267,2.50374e-05
10079894549145828474,267,2.50374e-05
13571139391083455804,267,2.50374e-05
4418425391280500320,267,2.50374e-05
7669324123780962774,266,2.49436e-05
6715108517996667756,266,2.49436e-05
4266660897311014393,266,2.49436e-05
16363717282526588479,265,2.48499e-05
15656096239198347567,265,2.48499e-05
10954126098477609021,265,2.48499e-05
7160658973886188710,265,2.48499e-05
1893033421185164,264,2.47561e-05
4834761821020004790,264,2.47561e-05
1805127261178236380,264,2.47561e-05
13641965008472695849,264,2.47561e-05
10755490845806858495,264,2.47561e-05
12336401572987912744,264,2.47561e-05
8321902599769909339,263,2.46623e-05
14922498020229381664,262,2.45685e-05
549368453753639901,262,2.45685e-05
7607823702379505852,262,2.45685e-05
1628530018485758484,262,2.45685e-05
7470067566921923508,261,2.44748e-05
15657683625160821156,261,2.44748e-05
