SuperFeature,HitCount,HitRatio
740080394680358045,5211,0.00458772
18419317120840089875,5016,0.00441604
3324668595241516505,4921,0.00433241
2972510444154291954,4115,0.00362281
1573375394916492223,3770,0.00331908
11017325302009848181,3128,0.00275387
14884270421423279607,2974,0.00261829
2519149167383748260,2849,0.00250824
16846479502561137079,2802,0.00246686
6601183388612714271,2764,0.0024334
7698084996020378881,2731,0.00240435
5651676320381963117,2645,0.00232864
8546967386689513584,2584,0.00227493
8962383584343718349,2573,0.00226525
14496693873156686001,2548,0.00224324
12137399960386944923,2512,0.00221154
6706747123338510099,2493,0.00219482
9160861467018129517,2426,0.00213583
10400298096212772185,2406,0.00211822
8745970132809095053,2251,0.00198176
14538188695115060603,2185,0.00192366
807687259328937024,2150,0.00189284
5791771459512323666,2144,0.00188756
7012955866710156742,2133,0.00187788
10201305794531849297,2105,0.00185322
8035715012012773779,2048,0.00180304
9270265539039070855,1998,0.00175902
11859639621072896718,1945,0.00171236
411226748378718500,1840,0.00161992
14800682305361748260,1819,0.00160143
14019434908241433363,1812,0.00159527
2368261647777772905,1791,0.00157678
17489436907516711641,1790,0.0015759
13005669189728942018,1616,0.00142271
11436626931349623932,1577,0.00138838
3082314524378747706,1554,0.00136813
10841485680306746054,1545,0.00136021
13525548004328771021,1429,0.00125808
8212856583431226543,1396,0.00122903
5872293331100938020,1387,0.0012211
4825982840872981100,1359,0.00119645
8615384883398644917,1356,0.00119381
782882031105042615,1342,0.00118149
3891445352634096082,1320,0.00116212
9702491052725919413,1249,0.00109961
7471292943007178716,1232,0.00108464
4507346745847904947,1229,0.001082
3651873140064064639,1202,0.00105823
15091483473532417532,1200,0.00105647
13310572946087412739,1193,0.00105031
12331788924966178845,1191,0.00104855
12391923087872608589,1185,0.00104326
16311006153423545541,1175,0.00103446
4559212217237613694,1166,0.00102654
6611407375165807025,1144,0.00100717
16936218612305384788,1119,0.000985158
8437588881705358113,1111,0.000978115
13977231555851295120,1099,0.000967551
14920397097840112511,1090,0.000959627
7994231430811533647,1085,0.000955225
17075933928583931177,1074,0.000945541
10289743308128436488,1068,0.000940258
13824573264987848751,1060,0.000933215
8194232523541677320,1055,0.000928813
9855774021926666635,1054,0.000927933
16852349188744260818,1048,0.000922651
2031377702066317545,1043,0.000918249
5084133563447467228,1030,0.000906803
12813554346689053235,1025,0.000902402
11168530227318924686,1023,0.000900641
15838944932168324497,1018,0.000896239
5917205460193890312,1013,0.000891837
10822997071786906980,1004,0.000883913
10255160862513021491,1001,0.000881272
15785190192036891942,996,0.00087687
9194738505323613060,990,0.000871588
1495218501250971045,973,0.000856621
1857777483924650128,965,0.000849578
12625716608557408758,959,0.000844296
17353880002071392795,940,0.000827568
16611309125987187170,939,0.000826688
15476030912172299154,935,0.000823166
5420691564223741076,927,0.000816123
12088784696370531740,921,0.000810841
9118321372855196547,918,0.0008082
4834776769999484382,918,0.0008082
12841605713055337870,893,0.00078619
3240033123374830960,888,0.000781788
8279626169055188670,863,0.000759778
2612589015047191470,859,0.000756257
4954635136099729353,859,0.000756257
17650468536826008518,852,0.000750094
16517321788978156032,846,0.000744811
18159915810716411261,838,0.000737768
9207856508778292485,837,0.000736888
14306345390329793951,832,0.000732486
14465987573983197392,825,0.000726323
7207937292282246717,821,0.000722802
12881663106850291077,813,0.000715758
1000079755750007320,799,0.000703433
