#vector_size	count	cdf
1	207656	0.770289
2	16568	0.831747
3	34414	0.959404
4	2275	0.967843
5	1538	0.973548
6	1637	0.97962
7	673	0.982117
8	595	0.984324
9	538	0.98632
10	331	0.987547
11	268	0.988542
12	284	0.989595
13	205	0.990355
14	173	0.990997
15	178	0.991657
16	95	0.99201
17	133	0.992503
18	95	0.992856
19	78	0.993145
20	81	0.993445
21	77	0.993731
22	58	0.993946
23	56	0.994154
24	72	0.994421
25	52	0.994614
26	53	0.99481
27	40	0.994959
28	43	0.995118
29	38	0.995259
30	40	0.995408
31	29	0.995515
32	29	0.995623
33	26	0.995719
34	18	0.995786
35	22	0.995868
36	18	0.995934
37	31	0.996049
38	14	0.996101
39	26	0.996198
40	21	0.996276
41	20	0.99635
42	31	0.996465
43	16	0.996524
44	17	0.996587
45	18	0.996654
46	14	0.996706
47	12	0.996751
48	13	0.996799
49	15	0.996854
50	12	0.996899
51	7	0.996925
52	12	0.996969
53	7	0.996995
54	14	0.997047
55	6	0.99707
56	11	0.99711
57	11	0.997151
58	9	0.997185
59	6	0.997207
60	10	0.997244
61	13	0.997292
62	11	0.997333
63	12	0.997377
64	7	0.997403
65	4	0.997418
66	5	0.997437
67	5	0.997455
68	9	0.997489
69	12	0.997533
70	10	0.99757
71	8	0.9976
72	14	0.997652
73	11	0.997693
74	5	0.997711
75	7	0.997737
76	3	0.997748
77	3	0.997759
78	11	0.9978
79	3	0.997811
80	4	0.997826
81	5	0.997845
82	5	0.997863
83	4	0.997878
84	8	0.997908
85	6	0.99793
86	5	0.997949
87	2	0.997956
88	7	0.997982
89	4	0.997997
90	5	0.998015
91	8	0.998045
92	5	0.998064
93	1	0.998067
94	8	0.998097
95	2	0.998104
96	5	0.998123
97	3	0.998134
98	2	0.998142
99	9	0.998175
100	3	0.998186
101	7	0.998212
102	3	0.998223
103	4	0.998238
104	2	0.998245
105	3	0.998257
106	3	0.998268
107	2	0.998275
108	1	0.998279
109	7	0.998305
110	3	0.998316
111	1	0.99832
112	2	0.998327
113	3	0.998338
114	1	0.998342
115	5	0.99836
116	2	0.998368
117	4	0.998383
118	3	0.998394
119	4	0.998409
121	2	0.998416
123	4	0.998431
124	2	0.998438
125	2	0.998446
127	4	0.998461
128	1	0.998464
129	2	0.998472
130	2	0.998479
131	1	0.998483
132	3	0.998494
133	5	0.998513
134	8	0.998542
135	4	0.998557
137	2	0.998564
138	1	0.998568
139	2	0.998576
140	6	0.998598
141	2	0.998605
142	4	0.99862
143	1	0.998624
144	3	0.998635
145	4	0.99865
146	4	0.998665
147	1	0.998668
148	2	0.998676
149	2	0.998683
150	2	0.998691
151	1	0.998694
152	3	0.998705
153	1	0.998709
154	4	0.998724
155	1	0.998728
156	2	0.998735
158	1	0.998739
159	3	0.99875
160	1	0.998754
161	2	0.998761
162	6	0.998783
163	2	0.998791
164	1	0.998794
165	1	0.998798
167	1	0.998802
168	2	0.998809
169	3	0.99882
170	1	0.998824
171	2	0.998832
172	1	0.998835
173	2	0.998843
174	2	0.99885
175	1	0.998854
176	3	0.998865
177	1	0.998869
178	2	0.998876
179	2	0.998883
180	1	0.998887
181	1	0.998891
182	1	0.998895
184	3	0.998906
185	1	0.998909
186	2	0.998917
187	1	0.998921
188	1	0.998924
189	4	0.998939
190	2	0.998947
191	1	0.99895
194	2	0.998958
195	2	0.998965
197	2	0.998972
198	1	0.998976
202	1	0.99898
203	2	0.998987
206	1	0.998991
207	2	0.998998
208	1	0.999002
209	1	0.999006
210	1	0.99901
213	2	0.999017
214	3	0.999028
216	3	0.999039
218	1	0.999043
221	1	0.999047
222	2	0.999054
225	1	0.999058
226	1	0.999062
230	2	0.999069
231	1	0.999073
232	1	0.999076
233	1	0.99908
235	1	0.999084
236	2	0.999091
244	1	0.999095
246	1	0.999099
248	2	0.999106
249	1	0.99911
250	1	0.999113
251	3	0.999125
253	2	0.999132
256	1	0.999136
257	1	0.999139
258	1	0.999143
259	2	0.999151
263	1	0.999154
264	1	0.999158
265	1	0.999162
268	2	0.999169
270	1	0.999173
272	1	0.999177
273	1	0.99918
274	2	0.999188
278	1	0.999191
281	2	0.999199
282	1	0.999202
284	2	0.99921
286	1	0.999214
287	1	0.999217
288	1	0.999221
290	2	0.999228
293	1	0.999232
294	1	0.999236
295	1	0.99924
296	2	0.999247
299	2	0.999254
302	1	0.999258
303	1	0.999262
304	1	0.999266
307	1	0.999269
312	2	0.999277
314	1	0.99928
315	1	0.999284
322	1	0.999288
324	1	0.999291
326	2	0.999299
328	1	0.999303
331	1	0.999306
332	1	0.99931
340	2	0.999317
341	1	0.999321
347	1	0.999325
350	1	0.999329
355	2	0.999336
361	1	0.99934
365	1	0.999343
368	1	0.999347
372	2	0.999355
374	2	0.999362
375	2	0.999369
376	1	0.999373
377	1	0.999377
380	1	0.999381
383	1	0.999384
393	1	0.999388
394	1	0.999392
396	1	0.999395
397	1	0.999399
399	1	0.999403
404	1	0.999406
410	1	0.99941
412	1	0.999414
413	1	0.999418
417	1	0.999421
418	1	0.999425
420	1	0.999429
430	1	0.999432
431	1	0.999436
441	2	0.999444
445	1	0.999447
449	1	0.999451
454	1	0.999455
456	2	0.999462
458	1	0.999466
461	1	0.99947
464	1	0.999473
466	1	0.999477
471	1	0.999481
473	1	0.999484
478	1	0.999488
479	1	0.999492
496	1	0.999496
502	1	0.999499
503	1	0.999503
512	1	0.999507
513	1	0.99951
515	1	0.999514
517	1	0.999518
522	1	0.999521
525	2	0.999529
528	1	0.999533
533	1	0.999536
541	1	0.99954
542	2	0.999547
557	1	0.999551
561	1	0.999555
574	1	0.999559
581	1	0.999562
583	1	0.999566
586	1	0.99957
587	1	0.999573
604	1	0.999577
616	1	0.999581
621	2	0.999588
624	1	0.999592
632	1	0.999596
634	1	0.999599
635	1	0.999603
651	1	0.999607
657	1	0.999611
659	1	0.999614
667	1	0.999618
670	1	0.999622
683	1	0.999625
688	1	0.999629
689	1	0.999633
691	1	0.999636
692	1	0.99964
717	1	0.999644
719	1	0.999648
743	1	0.999651
748	1	0.999655
763	1	0.999659
764	1	0.999662
770	1	0.999666
775	1	0.99967
780	1	0.999674
786	1	0.999677
806	1	0.999681
807	1	0.999685
809	2	0.999692
810	1	0.999696
818	1	0.9997
823	1	0.999703
836	1	0.999707
840	1	0.999711
862	2	0.999718
866	1	0.999722
884	1	0.999726
886	1	0.999729
892	1	0.999733
898	1	0.999737
908	1	0.99974
911	1	0.999744
923	1	0.999748
925	1	0.999751
995	1	0.999755
998	1	0.999759
1023	1	0.999763
1024	1	0.999766
1032	2	0.999774
1061	1	0.999777
1072	1	0.999781
1083	1	0.999785
1106	1	0.999789
1108	1	0.999792
1112	1	0.999796
1144	1	0.9998
1155	1	0.999803
1198	1	0.999807
1199	1	0.999811
1217	1	0.999815
1240	1	0.999818
1244	2	0.999826
1281	1	0.999829
1288	1	0.999833
1293	1	0.999837
1298	1	0.99984
1326	1	0.999844
1331	1	0.999848
1456	1	0.999852
1493	1	0.999855
1499	1	0.999859
1523	1	0.999863
1547	1	0.999866
1677	1	0.99987
1755	1	0.999874
1786	1	0.999878
1809	1	0.999881
1861	1	0.999885
1949	1	0.999889
1959	1	0.999892
1972	1	0.999896
1999	1	0.9999
2031	1	0.999904
2120	1	0.999907
2122	1	0.999911
2328	1	0.999915
2329	1	0.999918
2438	1	0.999922
2731	1	0.999926
2860	1	0.99993
3053	1	0.999933
3076	1	0.999937
3167	1	0.999941
3360	1	0.999944
3412	1	0.999948
3479	1	0.999952
3607	1	0.999955
3917	1	0.999959
4104	1	0.999963
4624	1	0.999967
4663	1	0.99997
4727	1	0.999974
5158	1	0.999978
7637	1	0.999981
14081	1	0.999985
14709	1	0.999989
15722	1	0.999993
15726	1	0.999996
20152	1	1
