AccessIndex,SF_ID
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,9
11,10
12,11
13,12
14,13
15,14
16,15
17,16
18,17
19,9
20,18
21,18
22,18
23,18
24,19
25,20
26,21
27,22
28,23
29,24
30,25
31,9
32,26
33,27
34,27
35,28
36,27
37,27
38,29
39,28
40,27
41,27
42,27
43,27
44,28
45,27
46,27
47,29
48,30
49,27
50,27
51,31
52,27
53,27
54,28
55,27
56,27
57,27
58,32
59,33
60,34
61,35
62,35
63,36
64,35
65,35
66,36
67,37
68,38
69,37
70,36
71,37
72,36
73,36
74,33
75,33
76,33
77,36
78,33
79,36
80,33
81,38
82,33
83,39
84,40
85,41
86,42
87,41
88,40
89,43
90,41
91,42
92,41
93,43
94,41
95,44
96,41
97,42
98,45
99,43
100,41
101,46
102,47
103,41
104,48
105,40
106,48
107,41
108,44
109,41
110,44
111,36
112,49
113,39
114,37
115,36
116,50
117,33
118,36
119,40
120,51
121,41
122,48
123,37
124,38
125,52
126,52
127,53
128,40
129,54
130,55
131,52
132,41
133,46
134,40
135,47
136,56
137,52
138,54
139,55
140,52
141,54
142,55
143,40
144,57
145,58
146,44
147,52
148,54
149,55
150,40
151,54
152,51
153,40
154,57
155,58
156,40
157,48
158,41
159,56
160,33
161,36
162,52
163,54
164,55
165,59
166,36
167,36
168,33
169,36
170,33
171,33
172,36
173,60
174,61
175,36
176,33
177,36
178,60
179,36
180,62
181,61
182,36
183,62
184,60
185,63
186,36
187,64
188,40
189,65
190,66
191,41
192,36
193,36
194,36
195,40
196,67
197,68
198,41
199,69
200,33
201,36
202,70
203,39
204,37
205,38
206,71
207,38
208,62
209,62
210,72
211,73
212,74
213,75
214,76
215,77
216,78
217,36
218,71
219,36
220,35
221,36
222,71
223,36
224,37
225,38
226,38
227,79
228,80
229,81
230,76
231,36
232,82
233,79
234,80
235,81
236,33
237,79
238,81
239,49
240,83
241,82
242,84
243,36
244,50
245,85
246,83
247,33
248,36
249,33
250,86
251,36
252,60
253,87
254,36
255,88
256,36
257,33
258,89
259,90
260,91
261,39
262,92
263,93
264,60
265,60
266,84
267,49
268,39
269,39
270,33
271,33
272,76
273,94
274,95
275,38
276,39
277,39
278,79
279,81
280,39
281,79
282,79
283,81
284,96
285,97
286,98
287,99
288,100
289,101
290,96
291,102
292,103
293,96
294,104
295,98
296,101
297,105
298,98
299,102
300,106
301,107
302,108
303,109
304,96
305,110
306,96
307,110
308,96
309,110
310,96
311,110
312,96
313,110
314,96
315,97
316,98
317,110
318,96
319,110
320,96
321,110
322,96
323,110
324,96
325,110
326,96
327,110
328,96
329,110
330,96
331,110
332,96
333,110
334,105
335,110
336,96
337,110
338,96
339,110
340,96
341,97
342,98
343,111
344,100
345,101
346,105
347,112
348,97
349,98
350,111
351,100
352,101
353,113
354,114
355,96
356,115
357,98
358,111
359,100
360,101
361,112
362,98
363,111
364,100
365,110
366,96
367,116
368,117
369,98
370,111
371,118
372,101
373,96
374,98
375,100
376,101
377,96
378,119
379,111
380,118
381,101
382,96
383,98
384,111
385,100
386,101
387,96
388,97
389,98
390,111
391,100
392,110
393,96
394,112
395,97
396,98
397,99
398,110
399,96
400,101
401,120
402,121
403,96
404,122
405,104
406,98
407,123
408,100
409,101
410,96
411,97
412,111
413,100
414,101
415,96
416,101
417,97
418,98
419,100
420,101
421,96
422,97
423,124
424,111
425,100
426,101
427,121
428,101
429,125
430,126
431,127
432,128
433,9
434,9
435,129
436,130
437,131
438,132
439,133
440,134
441,135
442,128
443,136
444,137
445,137
446,137
447,137
448,138
449,139
450,140
451,141
452,142
453,143
454,143
455,144
456,145
457,146
458,147
459,148
460,149
461,150
462,151
463,152
464,140
465,153
466,154
467,155
468,156
469,157
470,158
471,159
472,160
473,161
474,162
475,163
476,164
477,165
478,166
479,128
480,167
481,140
482,168
483,140
484,169
485,170
486,171
487,172
488,173
489,169
490,174
491,175
492,176
493,177
494,171
495,178
496,179
497,180
498,181
499,158
500,182
