AccessIndex,SF_ID
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,1
10,9
11,10
12,11
13,12
14,6
15,13
16,9
17,14
18,14
19,15
20,12
21,16
22,17
23,18
24,19
25,20
26,21
27,22
28,23
29,24
30,25
31,26
32,27
33,28
34,29
35,30
36,31
37,32
38,33
39,34
40,35
41,35
42,35
43,36
44,37
45,38
46,39
47,40
48,41
49,42
50,43
51,43
52,44
53,45
54,46
55,47
56,48
57,49
58,50
59,51
60,52
61,53
62,54
63,54
64,55
65,56
66,57
67,58
68,59
69,60
70,60
71,61
72,62
73,63
74,64
75,65
76,60
77,63
78,66
79,62
80,67
81,65
82,68
83,60
84,69
85,70
86,71
87,72
88,73
89,74
90,75
91,76
92,77
93,78
94,79
95,80
96,80
97,81
98,82
99,83
100,84
101,85
102,86
103,87
104,88
105,89
106,90
107,91
108,92
109,93
110,93
111,94
112,92
113,95
114,96
115,92
116,97
117,94
118,98
119,99
120,100
121,101
122,102
123,103
124,104
125,105
126,106
127,107
128,108
129,107
130,109
131,109
132,109
133,110
134,111
135,112
136,113
137,114
138,115
139,116
140,117
141,118
142,119
143,120
144,121
145,122
146,123
147,124
148,125
149,126
150,122
151,127
152,128
153,122
154,129
155,130
156,131
157,132
158,133
159,134
160,135
161,136
162,137
163,138
164,139
165,140
166,141
167,142
168,143
169,144
170,145
171,146
172,147
173,148
174,149
175,150
176,151
177,152
178,147
179,153
180,154
181,155
182,156
183,157
184,158
185,159
186,160
187,161
188,162
189,162
190,163
191,164
192,165
193,166
194,167
195,168
196,169
197,170
198,171
199,172
200,173
201,174
202,175
203,176
204,177
205,178
206,179
207,180
208,181
209,182
210,183
211,184
212,185
213,186
214,187
215,188
216,189
217,190
218,191
219,192
220,193
221,194
222,195
223,196
224,197
225,198
226,199
227,200
228,201
229,197
230,202
231,203
232,204
233,205
234,206
235,206
236,206
237,207
238,208
239,209
240,210
241,211
242,212
243,211
244,213
245,214
246,214
247,214
248,215
249,214
250,216
251,217
252,218
253,219
254,220
255,220
256,221
