AccessIndex,SF_ID
1,1
2,2
3,3
4,4
5,5
6,2
7,3
8,6
9,3
10,7
11,3
12,7
13,8
14,1
15,3
16,3
17,1
18,3
19,9
20,3
21,10
22,10
23,8
24,1
25,8
26,10
27,11
28,2
29,3
30,12
31,2
32,3
33,7
34,3
35,13
36,2
37,3
38,3
39,6
40,2
41,3
42,6
43,14
44,15
45,8
46,16
47,3
48,7
49,17
50,6
51,14
52,13
53,3
54,3
55,6
56,3
57,18
58,3
59,1
60,2
61,3
62,6
63,2
64,3
65,2
66,19
67,9
68,3
69,7
70,20
71,21
72,22
73,23
74,3
75,3
76,24
77,9
78,25
79,26
80,3
81,1
82,27
83,27
84,3
85,6
86,28
87,2
88,8
89,13
90,29
91,13
92,30
93,13
94,2
95,3
96,3
97,1
98,3
99,3
100,1
101,2
102,3
103,6
104,3
105,6
106,8
107,6
108,2
109,3
110,31
111,14
112,3
113,2
114,13
115,32
116,13
117,32
118,2
119,3
120,2
121,3
122,3
123,33
124,3
125,34
126,3
127,6
128,3
129,2
130,3
131,6
132,33
133,3
134,7
135,3
136,1
137,35
138,2
139,3
140,6
141,3
142,2
143,3
144,3
145,36
146,3
147,37
148,2
149,3
150,7
151,38
152,7
153,3
154,6
155,2
156,3
157,7
158,3
159,7
160,3
161,7
162,32
163,39
164,40
165,3
166,6
167,8
168,1
169,9
170,8
171,2
172,41
173,2
174,3
175,6
176,9
177,8
178,6
179,3
180,7
181,38
182,17
183,6
184,8
185,14
186,3
187,14
188,3
189,42
190,43
191,3
192,44
193,3
194,44
195,3
196,44
197,3
198,45
199,44
200,3
201,46
202,44
203,3
204,44
205,3
206,45
207,3
208,47
209,44
210,48
211,3
212,49
213,3
214,45
215,43
216,3
217,50
218,44
219,48
220,45
221,3
222,45
223,51
224,44
225,3
226,52
227,3
228,53
229,54
230,44
231,3
232,55
233,56
234,3
235,45
236,44
237,3
238,45
239,44
240,3
241,45
242,44
243,3
244,44
245,57
246,46
247,2
248,3
249,52
250,3
251,45
252,58
253,43
254,59
255,46
256,43
257,60
258,45
259,61
260,48
261,42
262,44
263,48
264,45
265,43
266,3
267,45
268,44
269,3
270,52
271,62
272,63
273,64
274,65
275,3
276,46
277,44
278,38
279,66
280,44
281,3
282,45
283,59
284,45
285,3
286,53
287,3
288,45
289,58
290,3
291,45
292,67
293,44
294,68
295,50
296,3
297,44
298,69
299,4
300,70
301,71
302,2
303,72
304,14
305,73
306,74
307,75
308,71
309,2
310,73
311,74
312,76
313,77
314,78
315,79
316,71
317,73
318,74
319,76
320,79
321,80
322,69
323,4
324,76
325,81
326,82
327,6
328,2
329,3
330,73
331,83
332,76
333,79
334,84
335,2
336,3
337,73
338,74
339,76
340,79
341,85
342,86
343,3
344,73
345,74
346,77
347,79
348,71
349,73
350,74
351,76
352,77
353,79
354,71
355,3
356,73
357,74
358,76
359,77
360,79
361,71
362,3
363,3
364,73
365,74
366,76
367,79
368,87
369,86
370,8
371,73
372,74
373,76
374,77
375,88
376,71
377,89
378,69
379,4
380,76
381,90
382,70
383,71
384,3
385,73
386,91
387,92
388,71
389,69
390,74
391,93
392,94
393,71
394,3
395,69
396,95
397,96
398,5
399,97
400,9
401,8
402,69
403,95
404,98
405,99
406,100
407,101
408,3
409,69
410,95
411,98
412,101
413,3
414,69
415,95
416,98
417,101
418,8
419,69
420,95
421,98
422,101
423,69
424,76
425,71
426,8
427,69
428,74
429,76
430,102
431,71
432,3
433,69
434,95
435,98
436,101
437,69
438,95
439,99
440,101
441,3
442,69
443,95
444,98
445,103
446,101
447,3
448,69
449,95
450,98
451,103
452,101
453,3
454,69
455,95
456,98
457,101
458,104
459,69
460,105
461,98
462,101
463,3
464,69
465,95
466,106
467,101
468,3
469,69
470,95
471,98
472,101
473,3
474,69
475,95
476,98
477,101
478,69
479,95
480,98
481,101
482,69
483,105
484,96
485,101
486,82
487,6
488,2
489,25
490,107
491,108
492,6
493,2
494,109
495,110
496,3
497,6
498,73
499,4
500,111
501,112
502,86
503,2
504,6
505,9
506,108
507,113
508,114
509,115
510,116
511,117
512,118
513,119
514,119
515,119
516,119
517,119
518,119
519,119
520,120
521,121
522,122
523,123
524,124
525,124
526,124
527,124
528,124
529,124
530,124
531,124
532,125
533,124
534,124
535,124
536,124
537,124
538,124
539,124
540,124
541,124
542,124
543,124
544,124
545,124
546,126
547,124
548,124
549,124
550,124
551,124
552,125
553,124
554,124
555,124
556,126
557,124
558,124
559,124
560,124
561,124
562,126
563,124
