AccessIndex,base_chunk_ID
1,1
2,2
3,3
4,4
5,5
6,2
7,3
8,1
9,3
10,6
11,3
12,6
13,3
14,1
15,3
16,3
17,1
18,3
19,2
20,3
21,1
22,1
23,3
24,1
25,3
26,7
27,8
28,2
29,3
30,9
31,2
32,3
33,6
34,3
35,10
36,2
37,11
38,11
39,1
40,12
41,11
42,7
43,2
44,13
45,3
46,9
47,11
48,6
49,14
50,7
51,12
52,10
53,11
54,11
55,7
56,11
57,15
58,11
59,7
60,12
61,11
62,7
63,16
64,11
65,16
66,13
67,2
68,17
69,6
70,14
71,18
72,19
73,20
74,17
75,17
76,21
77,16
78,22
79,23
80,17
81,7
82,24
83,24
84,17
85,7
86,25
87,16
88,3
89,10
90,26
91,10
92,27
93,10
94,16
95,17
96,17
97,7
98,28
99,28
100,7
101,16
102,28
103,7
104,28
105,7
106,17
107,7
108,16
109,28
110,29
111,16
112,28
113,16
114,10
115,30
116,10
117,30
118,16
119,28
120,16
121,28
122,28
123,31
124,28
125,10
126,28
127,7
128,28
129,16
130,28
131,7
132,31
133,28
134,6
135,28
136,7
137,32
138,16
139,28
140,7
141,28
142,16
143,28
144,28
145,33
146,28
147,34
148,16
149,28
150,6
151,35
152,6
153,28
154,36
155,16
156,28
157,6
158,28
159,6
160,28
161,6
162,30
163,37
164,38
165,39
166,36
167,17
168,7
169,16
170,17
171,16
172,40
173,16
174,41
175,36
176,16
177,17
178,36
179,41
180,42
181,35
182,14
183,36
184,17
185,16
186,41
187,16
188,41
189,43
190,44
191,41
192,44
193,41
194,44
195,41
196,44
197,41
198,43
199,44
200,41
201,45
202,44
203,46
204,44
205,46
206,43
207,46
208,47
209,44
210,48
211,46
212,49
213,46
214,43
215,44
216,46
217,47
218,44
219,48
220,43
221,46
222,43
223,50
224,51
225,46
226,52
227,46
228,53
229,54
230,51
231,46
232,43
233,55
234,46
235,43
236,51
237,46
238,43
239,51
240,46
241,43
242,51
243,46
244,51
245,56
246,45
247,16
248,46
249,52
250,46
251,43
252,57
253,44
254,46
255,45
256,44
257,58
258,43
259,59
260,48
261,43
262,51
263,48
264,43
265,44
266,46
267,43
268,51
269,46
270,52
271,60
272,61
273,62
274,63
275,46
276,45
277,51
278,35
279,64
280,51
281,46
282,43
283,46
284,43
285,65
286,53
287,65
288,43
289,57
290,65
291,66
292,67
293,51
294,68
295,47
296,65
297,51
298,69
299,4
300,70
301,71
302,16
303,72
304,16
305,7
306,4
307,73
308,71
309,16
310,7
311,4
312,74
313,75
314,76
315,77
316,71
317,7
318,4
319,74
320,77
321,78
322,69
323,4
324,74
325,71
326,79
327,36
328,16
329,65
330,7
331,80
332,74
333,77
334,71
335,16
336,65
337,7
338,4
339,74
340,77
341,81
342,82
343,65
344,7
345,4
346,75
347,77
348,71
349,83
350,4
351,74
352,75
353,77
354,71
355,65
356,83
357,4
358,74
359,75
360,77
361,71
362,65
363,65
364,83
365,4
366,74
367,77
368,84
369,82
370,17
371,83
372,4
373,74
374,75
375,85
376,71
377,86
378,69
379,4
380,74
381,87
382,70
383,71
384,65
385,88
386,89
387,90
388,71
389,69
390,4
391,91
392,84
393,71
394,92
395,69
396,93
397,94
398,5
399,95
400,16
401,17
402,69
403,93
404,96
405,97
406,98
407,99
408,100
409,69
410,93
411,96
412,99
413,100
414,69
415,93
416,96
417,99
418,101
419,69
420,93
421,96
422,99
423,102
424,74
425,71
426,101
427,102
428,4
429,74
430,103
431,71
432,100
433,102
434,93
435,96
436,99
437,102
438,104
439,97
440,99
441,100
442,102
443,104
444,96
445,105
446,99
447,100
448,102
449,104
450,96
451,105
452,99
453,106
454,102
455,104
456,96
457,99
458,107
459,108
460,93
461,96
462,99
463,106
464,109
465,104
466,110
467,111
468,106
469,109
470,104
471,96
472,111
473,106
474,112
475,104
476,113
477,114
478,112
479,104
480,113
481,114
482,112
483,104
484,94
485,114
486,79
487,36
488,16
489,22
490,115
491,17
492,36
493,16
494,116
495,117
496,106
497,36
498,88
499,4
500,91
501,118
502,82
503,16
504,36
505,16
506,17
507,119
508,120
509,121
510,122
511,123
512,124
513,125
514,125
515,125
516,125
517,125
518,125
519,125
520,126
521,126
522,127
523,128
524,129
525,129
526,129
527,129
528,129
529,129
530,130
531,130
532,131
533,130
534,130
535,130
536,130
537,130
538,130
539,130
540,130
541,130
542,130
543,130
544,130
545,130
546,132
547,130
548,130
549,130
550,130
551,130
552,131
553,130
554,130
555,130
556,132
557,130
558,130
559,130
560,130
561,130
562,132
