AccessIndex,base_chunk_ID
1,1
2,2
3,3
4,4
5,5
6,6
7,6
8,7
9,8
10,8
11,8
12,7
13,9
14,10
15,11
16,12
17,13
18,14
19,15
20,16
21,17
22,18
23,19
24,20
25,21
26,19
27,20
28,22
29,23
30,24
31,25
32,26
33,27
34,18
35,18
36,28
37,18
38,18
39,26
40,27
41,28
42,19
43,20
44,29
45,23
46,25
47,30
48,27
49,18
50,16
51,31
52,29
53,16
54,31
55,23
56,24
57,25
58,32
59,33
60,16
61,31
62,34
63,35
64,36
65,16
66,31
67,29
68,30
69,27
70,33
71,16
72,31
73,33
74,16
75,31
76,22
77,37
78,38
79,39
80,40
81,23
82,41
83,25
84,30
85,27
86,35
87,38
88,39
89,42
90,35
91,38
92,39
93,29
94,43
95,38
96,39
97,29
98,33
99,38
100,39
101,40
102,44
103,38
104,39
105,29
106,45
107,39
108,46
109,47
110,27
111,35
112,38
113,39
114,21
115,35
116,38
117,39
118,46
119,48
120,35
121,38
122,39
123,34
124,23
125,30
126,27
127,49
128,38
129,39
130,46
131,49
132,38
133,39
134,46
135,49
136,39
137,23
138,50
139,49
140,38
141,51
142,46
143,49
144,38
145,51
146,46
147,48
148,52
149,38
150,51
151,34
152,33
153,38
154,51
155,44
156,38
157,51
158,45
159,46
160,26
161,53
162,52
163,38
164,51
165,40
166,52
167,38
168,51
169,46
170,44
171,54
172,44
173,38
174,51
175,42
176,52
177,55
178,46
179,48
180,38
181,55
182,46
183,44
184,38
185,55
186,42
187,44
188,38
189,55
190,46
191,56
192,57
193,44
194,44
195,45
196,58
197,38
198,55
199,42
200,44
201,38
202,55
203,42
204,44
205,59
206,55
207,46
208,45
209,37
210,59
211,55
212,40
213,53
214,52
215,59
216,55
217,42
218,52
219,59
220,55
221,46
222,48
223,60
224,61
225,59
226,55
227,40
228,30
229,53
230,52
231,59
232,55
233,62
234,52
235,59
236,55
237,46
238,48
239,63
240,64
241,19
242,55
243,62
244,23
245,53
246,52
247,59
248,55
249,40
250,52
251,59
252,55
253,46
254,48
255,60
256,37
257,59
258,65
259,21
260,47
261,66
262,67
263,25
264,30
265,54
266,44
267,59
268,65
269,21
270,44
271,59
272,65
273,68
274,69
275,70
276,71
277,72
278,71
279,71
280,52
281,59
282,65
283,22
284,66
285,24
286,25
287,30
288,53
289,52
290,59
291,65
292,73
293,52
294,59
295,20
296,74
297,75
298,76
299,77
300,78
301,79
302,59
303,65
304,74
305,30
306,32
307,52
308,52
309,52
310,52
311,30
312,53
313,18
314,80
315,81
316,74
317,33
318,82
319,83
320,74
321,36
322,84
323,82
324,83
325,34
326,66
327,24
328,25
329,85
330,32
331,86
332,34
333,52
334,36
335,87
336,37
337,82
338,83
339,74
340,56
341,82
342,88
343,73
344,89
345,82
346,88
347,73
348,45
349,37
350,82
351,88
352,73
353,66
354,90
355,53
356,52
357,82
358,88
359,73
360,52
361,82
362,88
363,74
364,75
365,61
366,91
367,88
368,74
369,44
370,91
371,88
372,73
373,44
374,91
375,88
376,74
377,45
378,92
379,88
380,74
381,47
382,53
383,52
384,91
385,88
386,93
387,52
388,91
389,88
390,74
391,75
392,94
393,95
394,52
395,91
396,88
397,34
398,66
399,30
400,53
401,52
402,91
403,88
404,74
405,52
406,91
407,88
408,74
409,69
410,96
411,88
412,97
413,53
414,96
415,91
416,31
417,74
418,96
419,98
420,88
421,74
422,75
423,96
424,98
425,99
426,34
427,100
428,98
429,99
430,44
431,98
432,99
433,45
434,101
435,102
436,103
437,96
438,98
439,99
440,104
441,96
442,98
443,99
444,74
445,105
446,44
447,54
448,44
449,98
450,99
451,104
452,96
453,106
454,74
455,75
456,107
457,64
458,98
459,106
460,108
461,47
462,66
463,67
464,25
465,30
466,54
467,44
468,98
469,106
470,104
471,44
472,109
473,106
474,108
475,110
476,111
477,109
478,106
479,108
480,112
481,112
482,45
483,113
484,114
485,109
486,106
487,104
488,112
489,109
490,106
491,104
492,112
493,109
494,115
495,108
496,45
497,60
498,116
499,109
500,115
501,104
502,117
503,118
504,119
505,115
506,104
507,120
508,119
509,121
510,108
511,122
512,60
513,61
514,119
515,121
516,123
517,124
518,117
519,96
520,119
521,121
522,123
523,96
524,119
525,121
526,108
527,75
528,125
529,126
530,127
531,121
532,128
533,66
534,24
535,25
536,124
537,117
538,96
539,119
540,121
541,128
542,96
543,119
544,121
545,108
546,75
547,60
548,37
549,119
550,121
551,129
552,112
553,119
554,121
555,21
556,112
557,119
558,121
559,130
560,69
561,131
562,70
