#distance	count	cdf
1	4250	0.00625904
2	2500	0.00994083
3	1562	0.0122412
4	1517	0.0144753
5	813	0.0156726
6	814	0.0168714
7	612	0.0177727
8	870	0.019054
9	543	0.0198537
10	598	0.0207344
11	330	0.0212204
12	411	0.0218256
13	317	0.0222925
14	450	0.0229552
15	394	0.0235355
16	321	0.0240082
17	216	0.0243263
18	191	0.0246076
19	181	0.0248742
20	265	0.0252644
21	203	0.0255634
22	200	0.0258579
23	159	0.0260921
24	155	0.0263204
25	163	0.0265604
26	129	0.0267504
27	153	0.0269757
28	183	0.0272452
29	156	0.027475
30	134	0.0276723
31	177	0.027933
32	122	0.0281127
33	136	0.0283129
34	182	0.028581
35	168	0.0288284
36	123	0.0290095
37	100	0.0291568
38	155	0.0293851
39	129	0.0295751
40	96	0.0297164
41	81	0.0298357
42	118	0.0300095
43	97	0.0301524
44	166	0.0303968
45	126	0.0305824
46	146	0.0307974
47	175	0.0310551
48	158	0.0312878
49	105	0.0314425
50	111	0.0316059
51	97	0.0317488
52	98	0.0318931
53	121	0.0320713
54	132	0.0322657
55	163	0.0325058
56	92	0.0326413
57	148	0.0328592
58	114	0.0330271
59	102	0.0331773
60	71	0.0332819
61	144	0.033494
62	109	0.0336545
63	67	0.0337532
64	67	0.0338518
65	128	0.0340403
66	89	0.0341714
67	82	0.0342922
68	72	0.0343982
69	53	0.0344763
70	50	0.0345499
71	61	0.0346397
72	47	0.0347089
73	51	0.0347841
74	57	0.034868
75	43	0.0349313
76	50	0.035005
77	46	0.0350727
78	47	0.0351419
79	40	0.0352008
80	46	0.0352686
81	49	0.0353407
82	43	0.0354041
83	50	0.0354777
84	46	0.0355454
85	62	0.0356368
86	47	0.035706
87	62	0.0357973
88	44	0.0358621
89	43	0.0359254
90	57	0.0360094
91	55	0.0360904
92	111	0.0362538
93	79	0.0363702
94	73	0.0364777
95	41	0.0365381
96	45	0.0366043
97	99	0.0367501
98	66	0.0368473
99	76	0.0369593
100	61	0.0370491
101	87	0.0371772
102	44	0.037242
103	73	0.0373495
104	78	0.0374644
105	75	0.0375749
106	53	0.0376529
107	48	0.0377236
108	64	0.0378178
109	53	0.0378959
110	46	0.0379636
111	71	0.0380682
112	68	0.0381684
113	63	0.0382611
114	54	0.0383407
115	56	0.0384231
116	63	0.0385159
117	38	0.0385719
118	33	0.0386205
119	43	0.0386838
120	62	0.0387751
121	55	0.0388561
122	29	0.0388988
123	31	0.0389445
124	28	0.0389857
125	27	0.0390255
126	41	0.0390859
127	30	0.03913
128	26	0.0391683
129	39	0.0392258
130	28	0.039267
131	25	0.0393038
132	36	0.0393568
133	25	0.0393937
134	39	0.0394511
135	29	0.0394938
136	21	0.0395247
137	23	0.0395586
138	26	0.0395969
139	33	0.0396455
140	42	0.0397073
141	33	0.0397559
142	46	0.0398237
143	66	0.0399209
144	53	0.0399989
145	36	0.040052
146	51	0.0401271
147	47	0.0401963
148	57	0.0402802
149	37	0.0403347
150	50	0.0404084
151	29	0.0404511
152	55	0.0405321
153	32	0.0405792
154	33	0.0406278
155	21	0.0406587
156	33	0.0407073
157	27	0.0407471
158	29	0.0407898
159	28	0.040831
160	23	0.0408649
161	30	0.0409091
162	21	0.04094
163	33	0.0409886
164	18	0.0410151
165	26	0.0410534
166	17	0.0410784
167	18	0.0411049
168	27	0.0411447
169	37	0.0411992
170	19	0.0412272
171	29	0.0412699
172	29	0.0413126
173	25	0.0413494
174	12	0.0413671
175	23	0.041401
176	17	0.041426
177	31	0.0414717
178	36	0.0415247
179	31	0.0415703
180	22	0.0416027
181	29	0.0416454
182	26	0.0416837
183	23	0.0417176
184	20	0.0417471
185	23	0.0417809
186	19	0.0418089
187	23	0.0418428
188	18	0.0418693
189	11	0.0418855
190	18	0.041912
191	16	0.0419356
192	27	0.0419753
193	14	0.0419959
194	15	0.042018
195	13	0.0420372
196	9	0.0420504
197	12	0.0420681
198	19	0.0420961
199	18	0.0421226
200	20	0.042152
201	20	0.0421815
202	13	0.0422006
203	23	0.0422345
204	14	0.0422551
205	15	0.0422772
206	17	0.0423023
207	18	0.0423288
208	22	0.0423612
209	11	0.0423774
210	21	0.0424083
211	7	0.0424186
212	12	0.0424363
213	10	0.042451
214	24	0.0424864
215	19	0.0425143
216	12	0.042532
217	17	0.042557
218	25	0.0425939
219	11	0.0426101
220	19	0.042638
221	16	0.0426616
222	20	0.0426911
223	10	0.0427058
224	17	0.0427308
225	11	0.042747
226	17	0.0427721
227	16	0.0427956
228	8	0.0428074
229	13	0.0428266
230	22	0.042859
231	20	0.0428884
232	11	0.0429046
233	12	0.0429223
234	14	0.0429429
235	11	0.0429591
236	12	0.0429768
237	12	0.0429944
238	22	0.0430268
239	11	0.043043
240	12	0.0430607
241	21	0.0430916
242	17	0.0431167
243	14	0.0431373
244	16	0.0431609
245	11	0.0431771
246	13	0.0431962
247	10	0.0432109
248	8	0.0432227
249	17	0.0432477
250	11	0.0432639
251	10	0.0432787
252	12	0.0432963
253	18	0.0433229
254	6	0.0433317
255	9	0.0433449
256	7	0.0433553
257	8	0.043367
258	10	0.0433818
259	13	0.0434009
260	16	0.0434245
261	7	0.0434348
262	12	0.0434525
263	12	0.0434701
264	5	0.0434775
265	14	0.0434981
266	6	0.0435069
267	11	0.0435231
268	10	0.0435379
269	17	0.0435629
270	11	0.0435791
271	4	0.043585
272	16	0.0436086
273	14	0.0436292
274	16	0.0436527
275	8	0.0436645
276	16	0.0436881
277	8	0.0436999
278	18	0.0437264
279	20	0.0437558
280	11	0.043772
281	18	0.0437985
282	17	0.0438236
283	16	0.0438471
284	6	0.043856
285	6	0.0438648
286	25	0.0439016
287	7	0.0439119
288	12	0.0439296
289	24	0.043965
290	5	0.0439723
291	10	0.0439871
292	27	0.0440268
293	28	0.0440681
294	19	0.044096
295	18	0.0441225
296	16	0.0441461
297	8	0.0441579
298	12	0.0441756
299	15	0.0441977
300	7	0.044208
301	17	0.044233
302	16	0.0442566
303	16	0.0442801
304	13	0.0442993
305	8	0.044311
306	12	0.0443287
307	17	0.0443538
308	20	0.0443832
309	14	0.0444038
310	13	0.044423
311	15	0.0444451
312	15	0.0444672
313	17	0.0444922
314	9	0.0445054
315	19	0.0445334
316	14	0.044554
317	13	0.0445732
318	15	0.0445953
319	19	0.0446233
320	8	0.044635
321	13	0.0446542
322	14	0.0446748
323	12	0.0446925
324	17	0.0447175
325	11	0.0447337
326	10	0.0447484
327	15	0.0447705
328	12	0.0447882
329	13	0.0448074
330	9	0.0448206
331	9	0.0448339
332	14	0.0448545
333	16	0.044878
334	8	0.0448898
335	10	0.0449046
336	15	0.0449266
337	11	0.0449428
338	11	0.044959
339	10	0.0449738
340	12	0.0449914
341	16	0.045015
342	10	0.0450297
343	3	0.0450342
344	7	0.0450445
345	9	0.0450577
346	6	0.0450666
