#distance	count	cdf
1	11383	0.0660424
2	2976	0.0833087
3	4230	0.10785
4	8137	0.15506
5	8988	0.207207
6	8528	0.256685
7	8772	0.307579
8	7740	0.352485
9	5903	0.386734
10	3690	0.408142
11	2229	0.421075
12	1821	0.43164
13	1680	0.441387
14	1911	0.452474
15	1850	0.463208
16	1617	0.472589
17	1340	0.480364
18	1124	0.486885
19	982	0.492582
20	924	0.497943
21	846	0.502852
22	732	0.507099
23	789	0.511676
24	731	0.515917
25	655	0.519718
26	645	0.52346
27	604	0.526964
28	508	0.529911
29	485	0.532725
30	464	0.535417
31	477	0.538185
32	472	0.540923
33	456	0.543569
34	406	0.545924
35	420	0.548361
36	417	0.550781
37	342	0.552765
38	324	0.554645
39	322	0.556513
40	306	0.558288
41	341	0.560267
42	354	0.562321
43	295	0.564032
44	284	0.56568
45	271	0.567252
46	291	0.56894
47	284	0.570588
48	264	0.57212
49	300	0.57386
50	261	0.575375
51	218	0.576639
52	210	0.577858
53	229	0.579186
54	216	0.58044
55	224	0.581739
56	240	0.583132
57	210	0.58435
58	197	0.585493
59	179	0.586532
60	202	0.587704
61	212	0.588934
62	178	0.589966
63	182	0.591022
64	201	0.592188
65	173	0.593192
66	177	0.594219
67	158	0.595136
68	175	0.596151
69	173	0.597155
70	164	0.598106
71	160	0.599035
72	159	0.599957
73	154	0.600851
74	147	0.601703
75	174	0.602713
76	152	0.603595
77	158	0.604512
78	137	0.605306
79	149	0.606171
80	115	0.606838
81	137	0.607633
82	138	0.608434
83	167	0.609402
84	153	0.61029
85	105	0.610899
86	150	0.61177
87	132	0.612535
88	117	0.613214
89	127	0.613951
90	130	0.614705
91	120	0.615402
92	107	0.616022
93	121	0.616724
94	104	0.617328
95	125	0.618053
96	105	0.618662
97	108	0.619289
98	88	0.619799
99	99	0.620374
100	103	0.620971
101	129	0.62172
102	124	0.622439
103	115	0.623106
104	94	0.623652
105	95	0.624203
106	102	0.624795
107	102	0.625387
108	92	0.62592
109	103	0.626518
110	101	0.627104
111	106	0.627719
112	98	0.628287
113	120	0.628984
114	80	0.629448
115	84	0.629935
116	94	0.630481
117	86	0.63098
118	99	0.631554
119	110	0.632192
120	107	0.632813
121	84	0.6333
122	90	0.633822
123	85	0.634316
124	92	0.634849
125	79	0.635308
126	96	0.635865
127	90	0.636387
128	70	0.636793
129	93	0.637333
130	92	0.637866
131	81	0.638336
132	57	0.638667
133	95	0.639218
134	68	0.639613
135	102	0.640204
136	73	0.640628
137	100	0.641208
138	83	0.64169
139	78	0.642142
140	90	0.642664
141	78	0.643117
142	78	0.64357
143	74	0.643999
144	83	0.64448
145	79	0.644939
146	73	0.645362
147	81	0.645832
