#distance	count	cdf
1	38400	0.040008
2	45444	0.0873551
3	50209	0.139667
4	46862	0.188491
5	29584	0.219314
6	32953	0.253647
7	28066	0.282888
8	21545	0.305335
9	20965	0.327178
10	20374	0.348405
11	17127	0.36625
12	13870	0.3807
13	15936	0.397304
14	18117	0.41618
15	10599	0.427222
16	9627	0.437252
17	8260	0.445858
18	8195	0.454397
19	7811	0.462535
20	5682	0.468455
21	4937	0.473598
22	4937	0.478742
23	4957	0.483907
24	4351	0.48844
25	4495	0.493123
26	3758	0.497038
27	4198	0.501412
28	3685	0.505252
29	3991	0.50941
30	3431	0.512984
31	3100	0.516214
32	2942	0.519279
33	3110	0.52252
34	2443	0.525065
35	2486	0.527655
36	2325	0.530077
37	2019	0.532181
38	2332	0.534611
39	2140	0.53684
40	1862	0.53878
41	2224	0.541097
42	2859	0.544076
43	2237	0.546407
44	1792	0.548274
45	1748	0.550095
46	1884	0.552058
47	1788	0.553921
48	1403	0.555382
49	1510	0.556956
50	1165	0.55817
51	1112	0.559328
52	1386	0.560772
53	1546	0.562383
54	1471	0.563915
55	1453	0.565429
56	1451	0.566941
57	1434	0.568435
58	1124	0.569606
59	1369	0.571033
60	922	0.571993
61	883	0.572913
62	999	0.573954
63	923	0.574916
64	1131	0.576094
65	935	0.577068
66	837	0.57794
67	933	0.578912
68	891	0.579841
69	710	0.58058
70	777	0.58139
71	643	0.58206
72	618	0.582704
73	853	0.583592
74	741	0.584364
75	577	0.584966
76	718	0.585714
77	637	0.586377
78	651	0.587056
79	643	0.587725
80	640	0.588392
81	726	0.589149
82	656	0.589832
83	713	0.590575
84	801	0.59141
85	641	0.592077
86	639	0.592743
87	564	0.593331
88	579	0.593934
89	569	0.594527
90	709	0.595266
91	561	0.59585
92	516	0.596388
93	562	0.596973
94	609	0.597608
95	533	0.598163
96	622	0.598811
97	533	0.599366
98	450	0.599835
99	574	0.600433
100	619	0.601078
101	506	0.601605
102	620	0.602251
103	546	0.60282
104	541	0.603384
105	419	0.60382
106	452	0.604291
107	460	0.604771
108	501	0.605293
109	483	0.605796
110	438	0.606252
111	444	0.606715
112	371	0.607101
113	496	0.607618
114	525	0.608165
115	402	0.608584
116	464	0.609067
117	457	0.609543
118	434	0.609996
119	403	0.610415
120	436	0.61087
121	426	0.611314
122	508	0.611843
123	515	0.612379
124	448	0.612846
125	445	0.61331
126	462	0.613791
127	379	0.614186
128	351	0.614552
129	333	0.614899
130	389	0.615304
131	355	0.615674
132	355	0.616044
133	360	0.616419
134	317	0.616749
135	304	0.617066
136	363	0.617444
137	351	0.61781
138	258	0.618078
139	346	0.618439
140	300	0.618751
141	298	0.619062
142	222	0.619293
143	282	0.619587
144	338	0.619939
145	322	0.620275
146	407	0.620699
147	396	0.621111
148	425	0.621554
149	372	0.621942
150	356	0.622313
151	274	0.622598
152	248	0.622856
153	267	0.623135
154	293	0.62344
155	318	0.623771
156	281	0.624064
157	278	0.624354
158	245	0.624609
159	242	0.624861
160	257	0.625129
161	223	0.625361
162	226	0.625597
163	257	0.625864
164	320	0.626198
165	219	0.626426
166	196	0.62663
167	243	0.626883
168	250	0.627144
169	206	0.627358
170	263	0.627632
171	204	0.627845
172	206	0.62806
173	165	0.628232
174	244	0.628486
175	185	0.628678
176	182	0.628868
177	289	0.629169
178	213	0.629391
179	318	0.629722
180	329	0.630065
181	248	0.630324
182	228	0.630561
183	220	0.63079
184	270	0.631072
185	241	0.631323
186	240	0.631573
187	197	0.631778
188	185	0.631971
189	192	0.632171
190	343	0.632528
191	399	0.632944
192	271	0.633226
193	396	0.633639
194	415	0.634071
195	380	0.634467
196	436	0.634921
197	272	0.635205
198	309	0.635527
199	360	0.635902
200	299	0.636213
201	298	0.636524
202	454	0.636997
203	329	0.63734
204	263	0.637614
205	288	0.637914
206	326	0.638253
207	294	0.63856
208	262	0.638833
209	223	0.639065
210	253	0.639329
211	218	0.639556
212	280	0.639847
213	258	0.640116
214	382	0.640514
215	339	0.640867
216	361	0.641243
217	222	0.641475
218	259	0.641745
219	262	0.642018
220	301	0.642331
221	346	0.642692
222	266	0.642969
223	237	0.643216
224	168	0.643391
225	276	0.643678
226	279	0.643969
227	162	0.644138
228	159	0.644303
229	218	0.644531
230	188	0.644726
231	233	0.644969
232	278	0.645259
233	283	0.645554
234	298	0.645864
235	260	0.646135
236	454	0.646608
237	331	0.646953
238	236	0.647199
239	273	0.647483
240	328	0.647825
241	238	0.648073
242	223	0.648305
243	182	0.648495
244	214	0.648718
245	228	0.648955
246	260	0.649226
247	225	0.649461
248	305	0.649779
249	228	0.650016
250	215	0.65024
251	202	0.650451
252	173	0.650631
253	223	0.650863
254	135	0.651004
255	154	0.651164
256	181	0.651353
257	155	0.651514
258	233	0.651757
259	245	0.652012
260	200	0.652221
261	319	0.652553
262	193	0.652754
263	215	0.652978
264	220	0.653207
265	175	0.65339
266	190	0.653588
267	121	0.653714
268	100	0.653818
269	236	0.654064
270	187	0.654259
271	207	0.654474
272	230	0.654714
273	225	0.654948
274	367	0.655331
275	166	0.655504
276	138	0.655647
277	144	0.655797
278	119	0.655921
279	148	0.656076
280	123	0.656204
281	129	0.656338
282	123	0.656466
283	155	0.656628
284	124	0.656757
285	153	0.656916
286	161	0.657084
287	121	0.65721
288	123	0.657338
289	113	0.657456
290	129	0.657591
291	115	0.65771
292	133	0.657849
293	138	0.657993
294	111	0.658108
295	134	0.658248
296	128	0.658381
297	126	0.658513
298	234	0.658756
299	189	0.658953
300	169	0.659129
301	244	0.659384
302	221	0.659614
303	218	0.659841
304	173	0.660021
305	247	0.660279
306	390	0.660685
307	237	0.660932
308	290	0.661234
309	308	0.661555
310	254	0.66182
311	205	0.662033
312	234	0.662277
313	265	0.662553
314	242	0.662805
315	220	0.663034
316	174	0.663216
317	174	0.663397
318	132	0.663534
319	146	0.663687
320	133	0.663825
321	100	0.663929
322	101	0.664035
323	107	0.664146
324	86	0.664236
325	75	0.664314
326	104	0.664422
327	89	0.664515
328	83	0.664601
329	77	0.664682
330	84	0.664769
331	61	0.664833
332	110	0.664947
333	107	0.665059
334	72	0.665134
335	68	0.665205
336	55	0.665262
337	117	0.665384
338	99	0.665487
339	78	0.665568
340	87	0.665659
341	135	0.665799
342	61	0.665863
343	53	0.665918
344	66	0.665987
345	54	0.666043
346	58	0.666104
347	50	0.666156
348	52	0.66621
349	68	0.666281
350	54	0.666337
351	56	0.666395
352	88	0.666487
353	83	0.666574
354	53	0.666629
355	81	0.666713
356	88	0.666805
357	88	0.666897
358	47	0.666946
359	57	0.667005
360	50	0.667057
361	59	0.667118
362	57	0.667178
363	85	0.667266
364	84	0.667354
365	66	0.667423
366	50	0.667475
367	61	0.667538
368	70	0.667611
369	84	0.667699
370	72	0.667774
371	58	0.667834
372	42	0.667878
373	58	0.667938
374	68	0.668009
375	113	0.668127
376	61	0.668191
377	60	0.668253
378	63	0.668319
379	65	0.668386
380	101	0.668492
381	60	0.668554
382	49	0.668605
383	51	0.668658
384	43	0.668703
385	66	0.668772
386	57	0.668831
387	74	0.668908
388	54	0.668965
389	71	0.669039
390	64	0.669105
391	68	0.669176
392	86	0.669266
393	109	0.669379
394	48	0.669429
395	60	0.669492
396	100	0.669596
397	40	0.669638
398	50	0.66969
399	71	0.669764
400	54	0.66982
401	46	0.669868
402	87	0.669959
403	93	0.670056
404	55	0.670113
405	61	0.670176
406	71	0.67025
407	105	0.67036
408	51	0.670413
409	44	0.670459
410	37	0.670497
411	68	0.670568
412	64	0.670635
413	59	0.670696
414	54	0.670753
415	76	0.670832
416	95	0.670931
417	54	0.670987
418	80	0.67107
419	59	0.671132
420	50	0.671184
421	49	0.671235
422	117	0.671357
423	39	0.671397
424	37	0.671436
425	34	0.671471
426	51	0.671525
427	44	0.67157
428	42	0.671614
429	59	0.671676
430	43	0.67172
431	62	0.671785
432	47	0.671834
433	56	0.671892
434	42	0.671936
435	39	0.671977
436	42	0.672021
437	82	0.672106
438	81	0.67219
439	37	0.672229
440	72	0.672304
441	51	0.672357
442	43	0.672402
443	46	0.67245
444	36	0.672487
445	65	0.672555
446	39	0.672596
447	33	0.67263
448	44	0.672676
449	62	0.67274
450	53	0.672796
451	39	0.672836
452	50	0.672888
453	41	0.672931
454	42	0.672975
455	56	0.673033
456	35	0.67307
457	45	0.673117
458	68	0.673187
459	39	0.673228
460	36	0.673266
461	42	0.673309
462	47	0.673358
463	53	0.673414
464	40	0.673455
465	42	0.673499
466	39	0.67354
467	42	0.673583
468	71	0.673657
469	30	0.673689
470	81	0.673773
471	61	0.673837
472	38	0.673876
473	56	0.673934
474	67	0.674004
475	47	0.674053
476	73	0.674129
477	48	0.674179
478	44	0.674225
479	43	0.67427
480	33	0.674304
481	64	0.674371
482	39	0.674412
483	54	0.674468
484	53	0.674523
485	53	0.674578
486	38	0.674618
487	45	0.674665
488	58	0.674725
489	61	0.674789
490	51	0.674842
491	40	0.674884
492	32	0.674917
493	39	0.674958
494	43	0.675002
495	45	0.675049
496	48	0.675099
497	59	0.675161
498	41	0.675203
499	59	0.675265
500	44	0.675311
501	43	0.675356
502	31	0.675388
503	48	0.675438
504	42	0.675482
505	52	0.675536
506	48	0.675586
507	38	0.675625
508	42	0.675669
509	42	0.675713
510	58	0.675773
511	47	0.675822
512	38	0.675862
513	33	0.675896
514	46	0.675944
515	64	0.676011
516	39	0.676052
517	36	0.676089
518	75	0.676167
519	39	0.676208
520	55	0.676265
521	35	0.676302
522	56	0.67636
523	48	0.67641
524	59	0.676471
525	36	0.676509
526	59	0.67657
527	27	0.676599
528	56	0.676657
529	34	0.676692
530	47	0.676741
531	52	0.676795
532	35	0.676832
533	60	0.676894
534	43	0.676939
535	31	0.676972
536	25	0.676998
537	49	0.677049
538	44	0.677094
539	42	0.677138
540	19	0.677158
541	41	0.677201
542	44	0.677247
543	49	0.677298
544	37	0.677336
545	36	0.677374
546	37	0.677412
547	40	0.677454
548	50	0.677506
549	28	0.677535
550	51	0.677588
551	31	0.677621
552	34	0.677656
553	31	0.677688
554	29	0.677719
555	57	0.677778
556	49	0.677829
557	53	0.677884
558	43	0.677929
559	34	0.677964
560	29	0.677995
561	45	0.678042
562	45	0.678088
563	48	0.678138
564	20	0.678159
565	28	0.678188
566	48	0.678238
567	48	0.678288
568	44	0.678334
569	47	0.678383
570	53	0.678438
571	46	0.678486
572	44	0.678532
573	29	0.678562
574	37	0.678601
575	46	0.678649
576	37	0.678687
577	43	0.678732
578	52	0.678786
579	42	0.67883
580	43	0.678875
581	50	0.678927
582	38	0.678967
583	36	0.679004
584	27	0.679032
585	52	0.679087
586	37	0.679125
587	34	0.67916
588	34	0.679196
589	36	0.679233
590	33	0.679268
591	32	0.679301
592	23	0.679325
593	36	0.679363
594	44	0.679408
595	47	0.679457
596	45	0.679504
597	53	0.67956
598	48	0.67961
599	41	0.679652
600	43	0.679697
601	28	0.679726
602	36	0.679764
603	22	0.679787
604	27	0.679815
605	25	0.679841
606	38	0.67988
607	29	0.679911
608	43	0.679955
609	33	0.67999
610	42	0.680034
611	41	0.680076
612	33	0.680111
613	39	0.680151
614	46	0.680199
615	52	0.680253
616	23	0.680277
617	27	0.680306
618	27	0.680334
619	35	0.68037
620	34	0.680406
621	38	0.680445
622	27	0.680473
623	35	0.68051
624	31	0.680542
625	25	0.680568
626	33	0.680602
627	32	0.680636
628	37	0.680674
629	35	0.680711
630	27	0.680739
631	38	0.680779
632	29	0.680809
633	30	0.68084
634	30	0.680871
635	35	0.680908
636	27	0.680936
637	44	0.680982
638	36	0.681019
639	32	0.681053
640	39	0.681093
641	23	0.681117
642	25	0.681143
643	47	0.681192
644	34	0.681228
645	29	0.681258
646	33	0.681292
647	34	0.681328
648	23	0.681352
649	32	0.681385
650	30	0.681416
651	31	0.681448
652	30	0.68148
653	34	0.681515
654	26	0.681542
655	29	0.681572
656	34	0.681608
657	42	0.681652
658	40	0.681693
659	30	0.681725
660	38	0.681764
661	33	0.681799
662	32	0.681832
663	39	0.681873
664	38	0.681912
665	20	0.681933
666	36	0.68197
667	31	0.682003
668	32	0.682036
669	24	0.682061
670	35	0.682098
671	30	0.682129
672	35	0.682165
673	51	0.682218
674	23	0.682242
675	37	0.682281
676	30	0.682312
677	32	0.682346
678	44	0.682391
679	30	0.682423
680	31	0.682455
681	29	0.682485
682	25	0.682511
683	34	0.682547
684	36	0.682584
685	28	0.682613
686	28	0.682642
687	40	0.682684
688	34	0.68272
689	26	0.682747
690	32	0.68278
691	28	0.682809
692	23	0.682833
693	30	0.682864
694	35	0.682901
695	34	0.682936
696	26	0.682963
697	19	0.682983
698	33	0.683018
699	32	0.683051
700	35	0.683087
701	32	0.683121
702	34	0.683156
703	43	0.683201
704	31	0.683233
705	33	0.683268
706	38	0.683307
707	20	0.683328
708	33	0.683362
709	42	0.683406
710	68	0.683477
711	46	0.683525
712	36	0.683562
713	56	0.683621
714	28	0.68365
715	23	0.683674
716	48	0.683724
717	41	0.683767
718	37	0.683805
719	26	0.683832
720	24	0.683857
721	49	0.683908
722	28	0.683937
723	41	0.68398
724	26	0.684007
725	30	0.684039
726	27	0.684067
727	43	0.684111
728	33	0.684146
729	21	0.684168
730	18	0.684187
731	43	0.684231
732	30	0.684263
733	30	0.684294
734	21	0.684316
735	24	0.684341
736	30	0.684372
737	19	0.684392
738	40	0.684433
739	23	0.684457
740	37	0.684496
741	28	0.684525
742	22	0.684548
743	32	0.684581
744	35	0.684618
745	38	0.684657
746	29	0.684688
747	26	0.684715
748	37	0.684753
749	22	0.684776
750	43	0.684821
751	29	0.684851
752	38	0.684891
753	18	0.68491
754	26	0.684937
755	28	0.684966
756	31	0.684998
757	40	0.68504
758	39	0.68508
759	42	0.685124
760	39	0.685165
761	43	0.68521
