Version,DCE
1,60.6932
2,99.8275
3,105.897
4,96.0962
5,90.9632
6,87.9684
7,91.1534
8,88.3525
9,86.401
10,84.7574
11,83.4512
12,82.4141
13,81.571
14,80.841
15,81.6767
16,80.812
17,80.3393
18,79.8243
19,79.3754
20,78.9952
21,79.2903
22,78.8571
23,78.5841
24,78.2927
25,78.0964
26,77.8456
27,77.6801
28,77.5151
29,77.5935
30,77.3467
31,77.1432
32,76.9221
33,76.6968
34,76.4909
35,76.2897
36,76.184
37,75.92
38,75.8028
39,75.6008
40,75.3947
41,75.2129
42,75.0575
43,74.9273
44,74.7147
45,74.5518
46,74.4572
47,74.2957
48,74.137
49,74.0004
50,73.8646
51,73.7337
52,73.547
53,73.5619
54,73.4459
55,73.3344
56,73.2209
57,73.1233
58,72.9667
59,72.8041
60,72.6649
61,72.5426
62,72.4092
63,72.2863
64,72.1667
65,72.0754
66,71.9255
67,71.7873
68,71.6887
69,71.5764
70,71.4675
71,71.3587
72,71.2581
73,71.1709
74,71.0361
75,70.8992
76,70.7797
77,70.6931
78,70.5754
79,70.4885
80,70.3897
81,70.3017
82,70.2025
83,70.1601
84,70.1008
85,70.0541
86,70.0489
87,70.041
88,70.0302
89,69.9883
90,69.9323
91,69.9283
92,69.9607
93,69.9411
94,69.9028
95,69.837
96,69.7897
97,69.7287
98,69.6858
99,69.6494
100,69.6174
101,69.601
102,69.5985
103,69.539
104,69.4959
105,69.4608
106,69.457
107,69.4443
108,69.4217
109,69.39
110,69.353
111,69.342
112,69.2919
113,69.2362
114,69.1856
115,69.1373
116,69.1004
117,69.0764
118,69.0408
119,68.9941
120,68.9757
121,68.9281
122,68.8773
123,68.8187
124,68.7643
125,68.6927
126,68.6708
127,68.591
128,68.5203
129,68.4392
130,68.3743
131,68.3186
132,68.2511
133,68.1918
134,68.1261
135,68.0662
136,67.9399
137,67.8906
138,67.8677
139,67.8257
140,67.8077
141,67.7808
142,67.7505
143,67.5908
144,67.5782
145,67.6188
146,67.649
147,67.6877
148,67.7389
149,67.7891
150,67.8492
151,67.9488
152,67.9526
153,67.9885
154,68.0211
155,68.0236
156,68.0299
157,68.0394
158,68.0518
159,68.1191
160,68.009
161,68.014
162,68.0297
163,68.0391
164,68.0563
165,68.077
166,68.0933
167,68.1203
168,68.1804
169,68.1721
170,68.185
171,68.1989
172,68.2111
173,68.2238
174,68.2381
175,68.2547
176,68.3016
177,68.2903
178,68.2959
179,68.3042
180,68.3106
181,68.324
182,68.3411
183,68.3568
184,68.3941
185,68.3754
186,68.3868
187,68.4053
188,68.4187
189,68.4298
190,68.4464
191,68.4605
192,68.4951
193,68.4865
194,68.4926
195,68.4978
196,68.5053
197,68.5146
198,68.5326
199,68.5432
200,68.5547
201,68.5847
202,68.5696
203,68.5747
204,68.5766
205,68.5794
206,68.5904
207,68.5957
208,68.6051
209,68.6125
210,68.6382
211,68.6245
212,68.6297
213,68.6307
214,68.6336
215,68.6368
216,68.642
217,68.6497
218,68.6693
219,68.6542
220,68.6535
221,68.6522
222,68.6517
223,68.6581
224,68.6715
225,68.6861
226,68.6923
227,68.7116
228,68.6889
229,68.6691
230,68.6506
231,68.6359
232,68.6244
233,68.6134
234,68.6031
235,68.6129
236,68.5912
237,68.5757
238,68.562
239,68.5467
240,68.5323
241,68.5219
242,68.5138
243,68.5062
244,68.516
245,68.4847
246,68.4735
247,68.4597
248,68.445
249,68.4314
250,68.4186
251,68.4116
252,68.4023
253,68.4087
254,68.3799
255,68.3691
256,68.3559
257,68.3498
258,68.338
259,68.3281
260,68.3187
261,68.3257
262,68.3044
263,68.2937
264,68.2835
265,68.274
266,68.2652
267,68.2554
268,68.2459
269,68.2511
270,68.227
