Version,DCE
1,61.5625
2,100.608
3,128.574
4,128.166
5,128.309
6,133.247
7,130.829
8,127.969
9,128.289
10,128.335
11,128.26
12,128.613
13,128.926
14,130.497
15,131.069
16,129.877
17,129.945
18,130.01
19,130.301
20,131.653
21,131.34
22,130.479
23,130.539
24,130.514
25,130.86
26,130.922
27,131.285
28,131.623
29,131.366
30,130.767
31,130.66
32,130.832
33,130.991
34,131.504
35,131.507
36,131.245
37,130.643
38,130.629
39,130.714
40,130.705
41,130.768
42,131.368
43,131.146
44,130.832
45,130.795
46,131.269
47,131.42
48,131.364
49,131.382
50,131.377
51,131.109
52,130.708
53,130.892
54,130.889
55,130.904
56,130.91
57,131.095
58,130.906
59,130.63
60,130.636
61,130.69
62,130.687
63,130.741
64,130.772
65,130.841
66,130.76
67,130.612
68,130.616
69,130.665
70,130.69
71,130.697
72,130.719
73,130.781
74,130.763
75,130.818
76,130.747
77,130.555
78,130.333
79,130.133
80,129.939
81,129.666
82,129.428
83,129.291
84,129.185
85,129.08
86,129.055
87,129.039
88,129.136
89,129.114
90,129.079
91,129.134
92,129.293
93,129.298
94,129.341
95,129.31
96,129.35
97,129.341
98,129.374
99,129.432
100,129.571
101,129.614
102,129.788
103,129.708
104,129.736
105,129.806
106,129.907
107,129.987
108,130.109
109,130.229
110,130.306
111,130.674
112,130.74
113,130.763
114,130.82
115,130.849
116,130.917
117,131.09
118,131.223
119,131.261
120,131.363
121,131.399
122,131.402
123,131.406
124,131.428
125,131.45
126,131.545
127,131.48
128,131.518
129,131.617
130,131.707
131,131.88
132,131.924
133,131.943
134,131.948
135,132.018
136,131.789
137,131.802
138,131.879
139,131.893
140,132.031
141,132.108
142,132.136
143,131.674
144,131.312
145,131.315
146,131.289
147,131.306
148,131.687
149,131.665
150,131.68
151,131.731
152,131.698
153,131.701
154,131.715
155,131.602
156,131.611
157,131.623
158,131.628
159,131.64
160,131.271
161,131.205
162,131.212
163,131.232
164,131.219
165,131.234
166,131.249
167,131.503
168,131.511
169,131.368
170,131.35
171,131.362
172,131.647
173,131.658
174,131.67
175,131.802
176,131.812
177,131.717
178,131.737
179,131.748
180,131.91
181,131.951
182,132.212
183,132.231
184,132.292
185,132.224
186,132.222
187,132.323
188,132.362
189,132.387
190,132.576
191,132.846
192,132.865
193,132.84
194,132.896
195,132.889
196,132.9
197,133.014
198,133.048
199,133.041
200,133.353
201,133.348
202,133.265
203,133.269
204,133.283
205,133.312
206,133.308
207,133.305
208,133.323
209,133.344
210,133.4
211,133.415
212,133.439
213,133.463
214,133.567
215,133.587
216,133.609
217,133.629
218,133.62
219,133.592
220,133.619
221,133.64
222,133.632
223,133.69
224,133.841
225,134.025
226,134.034
227,134.025
228,133.876
229,133.826
230,133.816
231,133.809
232,133.975
233,134.115
234,134.105
235,134.111
236,134.003
237,134.008
238,133.997
239,134.027
240,134.018
241,134.028
242,134.157
243,134.344
244,134.33
245,134.218
246,134.208
247,134.276
248,134.249
249,134.241
250,134.232
251,134.36
252,134.39
253,134.377
254,134.274
255,134.348
256,134.36
257,134.365
258,134.401
259,134.411
260,134.412
261,134.383
262,134.369
263,134.402
264,134.441
265,134.445
266,134.449
267,134.563
268,134.57
269,134.557
270,134.526
